Age,Gender,JobRole,Department,MonthlyIncome,TotalAllowances,TenureYears,Attendance_LateCount,Attendance_AbsentCount,Attendance_HalfDayCount,Leave_TotalDaysApproved,Leave_RequestCount,Attrition,DataSource,SampleWeight
25,Male,HR Executive,HR,163880.06,14652.06,4.82,1,3,2,5.4,4,Yes,Local_Synthetic,0.5
48,Female,Senior Account Manager,Sales,350764.42,45960.75,7.49,1,0,0,9.2,4,No,Local_Synthetic,0.5
44,Female,QA Engineer,Engineering,82797.84,7268.31,9.34,1,1,4,9.7,5,Yes,Local_Synthetic,0.5
36,Male,Finance Controller,Finance,319503.11,32922.92,1.06,0,3,0,10.7,4,No,Local_Synthetic,0.5
36,Female,Sales Executive,Sales,183792.2,20097.96,3.59,1,0,1,5.9,3,No,Local_Synthetic,0.5
51,Male,Finance Controller,Finance,202551.68,10569.78,1.8,1,1,2,11.4,4,No,Local_Synthetic,0.5
24,Female,Project Manager,Operations,397825.33,40384.58,5.99,1,1,0,5.6,2,No,Local_Synthetic,0.5
45,Female,Digital Marketer,Marketing,52991.19,4476.86,0.77,0,1,1,4.1,3,No,Local_Synthetic,0.5
28,Male,HR Manager,HR,319301.82,29416.64,0.21,9,3,1,11.9,5,No,Local_Synthetic,0.5
25,Male,QA Engineer,Engineering,84406.88,5066.84,1.26,1,1,1,1.4,1,No,Local_Synthetic,0.5
39,Female,Sales Executive,Sales,112836.5,14474.9,0.25,1,0,0,5.3,2,No,Local_Synthetic,0.5
55,Male,Marketing Executive,Marketing,138892.82,20033.96,1.65,1,1,1,2.3,1,Yes,Local_Synthetic,0.5
47,Male,Senior Accountant,Finance,218278.89,11400.03,1.71,2,0,1,4.8,3,No,Local_Synthetic,0.5
47,Male,Finance Controller,Finance,182383.04,20087.17,0.4,7,3,1,6.0,4,No,Local_Synthetic,0.5
46,Female,HR Manager,HR,243068.6,30720.08,10.81,3,1,3,1.9,1,No,Local_Synthetic,0.5
48,Male,Senior Software Engineer,Engineering,180042.72,14129.89,1.06,1,1,0,7.8,3,Yes,Local_Synthetic,0.5
39,Female,Marketing Manager,Marketing,318591.14,41020.38,4.19,0,1,1,7.8,3,No,Local_Synthetic,0.5
26,Female,Senior Project Manager,Operations,176753.38,20014.76,0.7,2,1,0,4.3,4,No,Local_Synthetic,0.5
50,Male,Digital Marketer,Marketing,99049.5,14155.78,1.78,1,0,1,3.2,2,No,Local_Synthetic,0.5
37,Female,Digital Marketer,Marketing,56125.09,8312.15,0.32,1,0,1,1.8,1,No,Local_Synthetic,0.5
39,Female,Senior Account Manager,Sales,223245.4,12107.63,0.41,0,1,5,2.2,1,No,Local_Synthetic,0.5
34,Male,Account Manager,Sales,218098.81,20608.98,0.08,2,0,3,3.9,3,Yes,Local_Synthetic,0.5
